,energy,pulsewidth,spotsize,targetthickness
951,1.527135,279.0,3.3,497.0
647,2.304085,30.0,3.3,273.0
1068,1.5228,30.0,3.3,262.0
258,18.306353624996994,30.0,4.1,2000.0
302,2.378305,30.0,3.3,767.0
733,2.36641,80.0,3.3,1025.0
942,1.542735,279.0,3.3,540.0
641,2.357865,30.0,3.3,283.0
588,2.27127,30.0,3.3,274.0
266,0.5,56.0,3.6,7500.0
474,2.315405,30.0,3.3,555.0
789,2.368985,463.0,3.3,857.0
1018,1.556095,279.0,3.3,716.0
188,2.456155,30.0,3.3,538.0
886,2.3397,279.0,3.3,684.0
1046,1.60105,279.0,3.3,573.0
47,138.51000000000002,500.0,5.23056344775,500.0
709,2.316615,30.0,3.3,273.0
419,2.41483,463.0,3.3,583.0
1079,1.570705,30.0,3.3,257.0
244,2.501367640202145,30.0,4.1,2000.0
475,2.34768,30.0,3.3,598.0
264,2.44732,30.0,3.3,768.0
923,1.56194,80.0,3.3,467.0
460,2.35259,30.0,3.3,622.0
80,86.751,2280.0,4.1641624332,4000.0
183,2.398805,30.0,3.3,561.0
450,2.35284,30.0,3.3,520.0
362,2.42037,80.0,3.3,595.0
215,2.41828,30.0,3.3,540.0
141,268.8524590163934,1000.0,7.609269752041619,10000.0
140,216.39344262295083,1000.0,7.609269752041618,10000.0
124,85.0,5694.444444444444,12.0,15000.0
331,2.402405,80.0,3.3,531.0
680,2.307415,30.0,3.3,290.0
675,2.32216,30.0,3.3,256.0
915,1.538875,30.0,3.3,573.0
102,8.991,2280.0,2.4590836053,4000.0
463,2.37084,30.0,3.3,617.0
316,5.22,320.0,6.0,150000.0
713,2.338905,30.0,3.3,269.0
529,2.344085,30.0,3.3,583.0
674,2.29752,30.0,3.3,258.0
1035,1.589605,279.0,3.3,694.0
258,2.443075,30.0,3.3,791.0
338,2.423845,30.0,3.3,451.0
69,7.128000000000001,475.0,2.6606532834,4000.0
206,30.0,30.0,13.418186246367958,2000.0
1072,1.51948,30.0,3.3,257.0
830,2.337265,279.0,3.3,771.0
285,1.8,30.0,5.6,30000.0
297,2.409105,30.0,3.3,792.0
329,2.40324,80.0,3.3,482.0
645,2.33788,30.0,3.3,300.0
99,120.852,475.0,2.5519650408,1200.0
1003,1.56005,279.0,3.3,612.0
347,2.40655,30.0,3.3,275.0
523,2.32565,30.0,3.3,723.0
178,2.404025,30.0,3.3,595.0
296,210.0,900.0,5.86,90.0
452,2.3679,30.0,3.3,551.0
344,2.41903,30.0,3.3,447.0
477,2.374225,30.0,3.3,599.0
837,2.32358,279.0,3.3,660.0
75,113.23800000000001,12900.0,3.0773146257,4000.0
121,30.0,320.0,6.0,10000.0
771,2.29706,279.0,3.3,1054.0
441,2.37646,30.0,3.3,623.0
325,2.424215,30.0,3.3,836.0
997,1.52884,279.0,3.3,588.0
166,30.0,30.0,223.9291107276151,2000.0
592,2.32297,30.0,3.3,273.0
137,2.42459,30.0,3.3,572.0
971,1.571755,279.0,3.3,558.0
306,2.399395,30.0,3.3,794.0
96,1.5,30.0,9.214276333963564,15000.0
1040,1.56871,279.0,3.3,623.0
609,2.29138,30.0,3.3,130.0
348,2.41494,30.0,3.3,425.0
1004,1.568505,279.0,3.3,678.0
1070,1.51272,30.0,3.3,298.0
58,1.8,30.0,7.989405811688738,120.0
917,1.55002,80.0,3.3,727.0
186,2.395885,30.0,3.3,581.0
4,148.69565217391303,500.0,3.8,300.0
96,90.558,475.0,2.2219745751,4000.0
721,2.326685,30.0,3.3,998.0
151,10.0,320.0,5.5,20000.0
261,24.07759823176063,30.0,4.1,2000.0
17,28.512000000000004,500.0,2.447742726,1100.0
901,0.3080555,30.0,3.3,483.0
103,1.5,527.0,6.0,15000.0
994,1.59707,279.0,3.3,597.0
571,2.297935,30.0,3.3,107.0
1063,1.522675,30.0,3.3,253.0
651,2.311865,30.0,3.3,264.0
20,112.59,500.0,3.3536448,300.0
385,2.42363,187.0,3.3,635.0
811,2.309255,279.0,3.3,853.0
399,2.39852,279.0,3.3,584.0
330,2.7,30.0,3.0,300.0
104,1.5,241.0,6.0,15000.0
656,2.298125,30.0,3.3,280.0
38,140.616,500.0,5.42282376375,1000.0
893,2.359385,279.0,3.3,674.0
565,2.33271,30.0,3.3,662.0
305,2.43017,30.0,3.3,800.0
48,1.58,30.0,5.6,120.0
973,1.550335,279.0,3.3,570.0
326,0.3,33.0,8.95945432,200.0
26,46.17,500.0,3.56616237,300.0
1054,1.553415,30.0,3.3,264.0
83,1.5,30.0,46.983774830516396,15000.0
775,2.344475,279.0,3.3,893.0
818,2.32574,279.0,3.3,942.0
898,2.390815,279.0,3.3,651.0
254,2.384835,30.0,3.3,776.0
867,2.34463,279.0,3.3,938.0
